timestamp,instance,run,fitness,feasible,n_cols,iters,evals,time_s,problem,transfer,rule,infeasible,varmin,varmax,pop,chaos,maxfes,stagnation,seed
2026-09-02T10:46:15,41,1,433.0,1,71,301,6010,5.83,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2025
2026-09-02T10:46:21,41,2,433.0,1,71,301,6010,5.914,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2026
2026-09-02T10:46:28,41,3,433.0,1,71,301,6010,6.396,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2027
2026-09-02T10:46:34,41,4,433.0,1,71,301,6010,6.181,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2028
2026-09-02T10:46:40,41,5,433.0,1,71,301,6010,5.951,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2029
2026-09-02T10:46:46,41,6,433.0,1,71,301,6010,6.179,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2030
2026-09-02T10:46:52,41,7,433.0,1,71,301,6010,6.211,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2031
2026-09-02T10:46:58,41,8,433.0,1,71,301,6010,6.093,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2032
2026-09-02T10:47:05,41,9,433.0,1,71,301,6010,6.423,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2033
2026-09-02T10:47:11,41,10,433.0,1,71,301,6010,6.078,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2034
2026-09-02T10:47:17,41,11,433.0,1,71,301,6010,6.012,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2035
2026-09-02T10:47:23,41,12,433.0,1,71,301,6010,6.038,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2036
2026-09-02T10:47:29,41,13,433.0,1,71,301,6010,6.226,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2037
2026-09-02T10:47:35,41,14,433.0,1,71,301,6010,6.042,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2038
2026-09-02T10:47:41,41,15,431.0,1,70,301,6010,5.778,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2039
2026-09-02T10:47:47,41,16,433.0,1,71,301,6010,6.213,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2040
2026-09-02T10:47:53,41,17,433.0,1,71,301,6010,6.313,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2041
2026-09-02T10:47:59,41,18,433.0,1,71,301,6010,5.856,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2042
2026-09-02T10:48:05,41,19,433.0,1,71,301,6010,6.022,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2043
2026-09-02T10:48:11,41,20,433.0,1,71,301,6010,5.879,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2044
2026-09-02T10:48:17,41,21,433.0,1,71,301,6010,5.727,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2045
2026-09-02T10:48:23,41,22,433.0,1,71,301,6010,6.383,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2046
2026-09-02T10:48:30,41,23,433.0,1,71,301,6010,6.403,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2047
2026-09-02T10:48:36,41,24,433.0,1,71,301,6010,6.179,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2048
2026-09-02T10:48:43,41,25,433.0,1,71,301,6010,7.179,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2049
2026-09-02T10:48:51,41,26,433.0,1,71,301,6010,8.192,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2050
2026-09-02T10:48:57,41,27,433.0,1,69,301,6010,5.924,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2051
2026-09-02T10:49:04,41,28,433.0,1,71,301,6010,6.545,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2052
2026-09-02T10:49:10,41,29,433.0,1,71,301,6010,6.289,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2053
2026-09-02T10:49:16,41,30,433.0,1,71,301,6010,5.824,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2054
2026-09-02T10:49:22,41,31,433.0,1,71,301,6010,6.255,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2055
2026-09-02T10:49:29,42,1,522.0,1,62,301,6010,5.96,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2025
2026-09-02T10:49:35,42,2,523.0,1,64,301,6010,5.825,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2026
2026-09-02T10:49:40,42,3,524.0,1,63,301,6010,5.603,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2027
2026-09-02T10:49:46,42,4,521.0,1,64,301,6010,5.883,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2028
2026-09-02T10:49:52,42,5,523.0,1,64,301,6010,5.515,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2029
2026-09-02T10:49:57,42,6,523.0,1,64,301,6010,5.736,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2030
2026-09-02T10:50:03,42,7,525.0,1,65,301,6010,5.87,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2031
2026-09-02T10:50:09,42,8,524.0,1,63,301,6010,6.011,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2032
2026-09-02T10:50:15,42,9,522.0,1,62,301,6010,5.905,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2033
2026-09-02T10:50:21,42,10,525.0,1,65,301,6010,5.893,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2034
2026-09-02T10:50:27,42,11,523.0,1,64,301,6010,5.95,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2035
2026-09-02T10:50:33,42,12,525.0,1,65,301,6010,5.922,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2036
2026-09-02T10:50:39,42,13,522.0,1,62,301,6010,6.115,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2037
2026-09-02T10:50:45,42,14,522.0,1,62,301,6010,5.757,SCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2038
