timestamp,instance,run,fitness,feasible,n_cols,iters,evals,time_s,problem,transfer,rule,infeasible,varmin,varmax,pop,chaos,maxfes,stagnation,seed
2026-09-02T16:39:22,U51,8,37.0,1,37,301,6010,8.063,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2032
2026-09-02T16:39:30,U51,9,37.0,1,37,301,6010,7.98,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2033
2026-09-02T16:39:38,U51,10,39.0,1,39,301,6010,7.773,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2034
2026-09-02T16:39:46,U51,11,39.0,1,39,301,6010,7.461,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2035
2026-09-02T16:39:54,U51,12,37.0,1,37,301,6010,8.186,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2036
2026-09-02T16:40:02,U51,13,39.0,1,39,301,6010,7.675,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2037
2026-09-02T16:40:09,U51,14,38.0,1,38,301,6010,7.597,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2038
2026-09-02T16:40:18,U51,15,37.0,1,37,301,6010,9.118,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2039
2026-09-02T16:40:27,U51,16,40.0,1,40,301,6010,8.952,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2040
2026-09-02T16:40:36,U51,17,38.0,1,38,301,6010,8.625,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2041
2026-09-02T16:40:43,U51,18,39.0,1,39,301,6010,7.447,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2042
2026-09-02T16:40:51,U51,19,37.0,1,37,301,6010,7.295,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2043
2026-09-02T16:40:58,U51,20,38.0,1,38,301,6010,7.132,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2044
2026-09-02T16:41:05,U51,21,38.0,1,38,301,6010,7.259,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2045
2026-09-02T16:41:12,U51,22,40.0,1,40,301,6010,7.512,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2046
2026-09-02T16:41:20,U51,23,40.0,1,40,301,6010,7.651,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2047
2026-09-02T16:41:27,U51,24,39.0,1,39,301,6010,7.185,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2048
2026-09-02T16:41:35,U51,25,38.0,1,38,301,6010,7.23,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2049
2026-09-02T16:41:42,U51,26,39.0,1,39,301,6010,7.629,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2050
2026-09-02T16:41:49,U51,27,37.0,1,37,301,6010,7.278,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2051
2026-09-02T16:41:57,U51,28,38.0,1,38,301,6010,7.88,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2052
2026-09-02T16:42:05,U51,29,38.0,1,38,301,6010,7.166,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2053
2026-09-02T16:42:11,U51,30,38.0,1,38,301,6010,6.906,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2054
2026-09-02T16:42:20,U51,31,36.0,1,36,301,6010,8.695,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2055
2026-09-02T16:42:26,U61,1,23.0,1,23,301,6010,5.079,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2025
2026-09-02T16:42:31,U61,2,24.0,1,24,301,6010,4.547,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2026
2026-09-02T16:42:35,U61,3,24.0,1,24,301,6010,4.449,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2027
2026-09-02T16:42:39,U61,4,23.0,1,23,301,6010,4.497,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2028
2026-09-02T16:42:45,U61,5,23.0,1,23,301,6010,5.203,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2029
2026-09-02T16:42:50,U61,6,23.0,1,23,301,6010,4.991,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2030
2026-09-02T16:42:56,U61,7,24.0,1,24,301,6010,5.854,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2031
2026-09-02T16:43:00,U61,8,22.0,1,22,301,6010,4.885,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2032
2026-09-02T16:43:06,U61,9,23.0,1,23,301,6010,5.856,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2033
2026-09-02T16:43:11,U61,10,22.0,1,22,301,6010,4.421,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2034
2026-09-02T16:43:16,U61,11,23.0,1,23,301,6010,4.797,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2035
2026-09-02T16:43:20,U61,12,22.0,1,22,301,6010,4.816,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2036
2026-09-02T16:43:25,U61,13,23.0,1,23,301,6010,4.545,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2037
2026-09-02T16:43:29,U61,14,24.0,1,24,301,6010,4.476,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2038
2026-09-02T16:43:34,U61,15,23.0,1,23,301,6010,4.606,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2039
2026-09-02T16:43:40,U61,16,24.0,1,24,301,6010,5.563,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2040
2026-09-02T16:43:45,U61,17,22.0,1,22,301,6010,5.127,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2041
2026-09-02T16:43:51,U61,18,22.0,1,22,301,6010,6.13,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2042
2026-09-02T16:43:56,U61,19,23.0,1,23,301,6010,4.693,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2043
2026-09-02T16:44:00,U61,20,23.0,1,23,301,6010,4.365,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2044
2026-09-02T16:44:04,U61,21,22.0,1,22,301,6010,4.34,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2045
2026-09-02T16:44:09,U61,22,23.0,1,23,301,6010,4.351,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2046
2026-09-02T16:44:13,U61,23,23.0,1,23,301,6010,4.589,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2047
2026-09-02T16:44:18,U61,24,23.0,1,23,301,6010,4.446,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2048
2026-09-02T16:44:22,U61,25,22.0,1,22,301,6010,4.543,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2049
2026-09-02T16:44:28,U61,26,22.0,1,22,301,6010,5.403,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2050
2026-09-02T16:44:33,U61,27,23.0,1,23,301,6010,5.322,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2051
2026-09-02T16:44:38,U61,28,22.0,1,22,301,6010,5.332,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2052
2026-09-02T16:44:43,U61,29,23.0,1,23,301,6010,4.889,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2053
2026-09-02T16:44:48,U61,30,24.0,1,24,301,6010,4.585,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2054
2026-09-02T16:44:54,U61,31,22.0,1,22,301,6010,5.917,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2055
2026-09-02T16:45:07,UA1,1,45.0,1,45,301,6010,12.884,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2025
2026-09-02T16:45:22,UA1,2,43.0,1,43,301,6010,14.579,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2026
2026-09-02T16:45:34,UA1,3,43.0,1,43,301,6010,12.692,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2027
2026-09-02T16:45:47,UA1,4,44.0,1,44,301,6010,12.591,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2028
2026-09-02T16:46:00,UA1,5,42.0,1,42,301,6010,12.784,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2029
2026-09-02T16:46:13,UA1,6,43.0,1,43,301,6010,12.923,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2030
2026-09-02T16:46:25,UA1,7,43.0,1,43,301,6010,12.565,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2031
2026-09-02T16:46:38,UA1,8,42.0,1,42,301,6010,12.946,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2032
2026-09-02T16:46:50,UA1,9,43.0,1,43,301,6010,12.318,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2033
2026-09-02T16:47:03,UA1,10,44.0,1,44,301,6010,12.752,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2034
2026-09-02T16:47:16,UA1,11,42.0,1,42,301,6010,12.436,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2035
2026-09-02T16:47:28,UA1,12,44.0,1,44,301,6010,12.675,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2036
2026-09-02T16:47:41,UA1,13,43.0,1,43,301,6010,12.725,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2037
2026-09-02T16:47:54,UA1,14,42.0,1,42,301,6010,12.563,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2038
2026-09-02T16:48:06,UA1,15,45.0,1,45,301,6010,12.148,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2039
2026-09-02T16:48:17,UA1,16,42.0,1,42,301,6010,11.717,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2040
2026-09-02T16:48:29,UA1,17,42.0,1,42,301,6010,11.799,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2041
2026-09-02T16:48:41,UA1,18,44.0,1,44,301,6010,12.151,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2042
2026-09-02T16:48:55,UA1,19,44.0,1,44,301,6010,13.558,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2043
2026-09-02T16:49:09,UA1,20,42.0,1,42,301,6010,13.993,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2044
2026-09-02T16:49:23,UA1,21,42.0,1,42,301,6010,14.143,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2045
2026-09-02T16:49:36,UA1,22,43.0,1,43,301,6010,12.912,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2046
2026-09-02T16:49:49,UA1,23,44.0,1,44,301,6010,12.989,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2047
2026-09-02T16:50:01,UA1,24,44.0,1,44,301,6010,11.797,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2048
2026-09-02T16:50:14,UA1,25,43.0,1,43,301,6010,13.543,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2049
2026-09-02T16:50:28,UA1,26,43.0,1,43,301,6010,13.168,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2050
2026-09-02T16:50:42,UA1,27,45.0,1,45,301,6010,14.455,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2051
2026-09-02T16:50:56,UA1,28,44.0,1,44,301,6010,14.031,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2052
2026-09-02T16:51:08,UA1,29,43.0,1,43,301,6010,11.767,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2053
2026-09-02T16:51:21,UA1,30,43.0,1,43,301,6010,13.392,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2054
2026-09-02T16:51:35,UA1,31,44.0,1,44,301,6010,13.331,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2055
2026-09-02T16:51:48,UB1,1,24.0,1,24,301,6010,11.74,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2025
2026-09-02T16:52:01,UB1,2,24.0,1,24,301,6010,13.312,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2026
2026-09-02T16:52:12,UB1,3,24.0,1,24,301,6010,11.116,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2027
2026-09-02T16:52:24,UB1,4,25.0,1,25,301,6010,11.552,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2028
2026-09-02T16:52:35,UB1,5,26.0,1,26,301,6010,11.475,USCP,v3,elit,repair,-5.0,5.0,10,2,6000,paper,2029
